node:116 rate:2.110 new_rtt12.270 c:1.192 rttpred:12008.509 rtttarget:13264.000 rttmin12264.000 e:-1.255 eold:-0.926 eavg:-3.314 tim:9
node:116 rate:9.544 new_rtt12.357 c:1.099 rttpred:12365.641 rtttarget:13264.000 rttmin12264.000 e:-0.898 eold:-1.127 eavg:-3.218 tim:28
node:116 rate:1.000 new_rtt12.271 c:0.781 rttpred:12139.449 rtttarget:11043.000 rttmin12270.000 e:1.096 eold:0.000 eavg:0.000 tim:1
node:116 rate:1.000 new_rtt13.510 c:1.580 rttpred:7770.096 rtttarget:5176.000 rttmin4176.000 e:2.594 eold:12.593 eavg:16.077 tim:38
node:116 rate:1.000 new_rtt15.712 c:2.411 rttpred:12201.332 rtttarget:13264.000 rttmin12264.000 e:-1.063 eold:15.461 eavg:34.726 tim:33
node:116 rate:10.490 new_rtt12.264 c:1.194 rttpred:12010.926 rtttarget:13264.000 rttmin12264.000 e:-1.253 eold:-0.898 eavg:-3.278 tim:29
node:116 rate:2.515 new_rtt12.272 c:1.131 rttpred:12148.602 rtttarget:13264.000 rttmin12264.000 e:-1.115 eold:-1.255 eavg:-3.297 tim:10
node:116 rate:1.580 new_rtt7.904 c:1.082 rttpred:5295.992 rtttarget:5176.000 rttmin4176.000 e:0.120 eold:2.594 eavg:15.308 tim:39
node:116 rate:1.000 new_rtt12.320 c:0.868 rttpred:12251.351 rtttarget:11043.000 rttmin12270.000 e:1.208 eold:1.096 eavg:0.000 tim:2
node:116 rate:1.000 new_rtt8.229 c:0.854 rttpred:8134.605 rtttarget:7406.100 rttmin8229.000 e:0.729 eold:0.000 eavg:0.000 tim:1
node:116 rate:1.710 new_rtt4.211 c:0.984 rttpred:5178.915 rtttarget:5176.000 rttmin4176.000 e:0.003 eold:0.120 eavg:2.717 tim:40
node:116 rate:12.521 new_rtt12.290 c:1.118 rttpred:12210.002 rtttarget:13264.000 rttmin12264.000 e:-1.054 eold:-1.253 eavg:-3.205 tim:30
node:116 rate:1.683 new_rtt4.176 c:1.348 rttpred:3514.415 rtttarget:5176.000 rttmin4176.000 e:-1.662 eold:0.003 eavg:-1.539 tim:41
node:116 rate:2.411 new_rtt14.773 c:0.546 rttpred:14234.035 rtttarget:13264.000 rttmin12264.000 e:0.970 eold:-1.063 eavg:15.368 tim:34
node:116 rate:2.843 new_rtt12.298 c:1.134 rttpred:12207.991 rtttarget:13264.000 rttmin12264.000 e:-1.056 eold:-1.115 eavg:-3.427 tim:11
node:116 rate:1.000 new_rtt8.224 c:0.927 rttpred:8129.233 rtttarget:7401.600 rttmin8224.000 e:0.728 eold:0.729 eavg:0.000 tim:2
node:116 rate:2.269 new_rtt4.176 c:1.128 rttpred:3853.183 rtttarget:5176.000 rttmin4176.000 e:-1.323 eold:-1.662 eavg:-2.981 tim:42
node:116 rate:1.000 new_rtt12.459 c:0.792 rttpred:12497.668 rtttarget:11043.000 rttmin12270.000 e:1.455 eold:1.208 eavg:3.759 tim:3
node:116 rate:1.000 new_rtt8.220 c:0.905 rttpred:8127.685 rtttarget:7398.000 rttmin8220.000 e:0.730 eold:0.728 eavg:2.186 tim:3
node:116 rate:13.993 new_rtt12.264 c:1.160 rttpred:12110.124 rtttarget:13264.000 rttmin12264.000 e:-1.154 eold:-1.054 eavg:-3.461 tim:31
node:116 rate:2.559 new_rtt7.122 c:-0.136 rttpred:10097.527 rtttarget:5176.000 rttmin4176.000 e:4.922 eold:-1.323 eavg:1.937 tim:43
node:116 rate:3.224 new_rtt12.305 c:1.143 rttpred:12182.151 rtttarget:13264.000 rttmin12264.000 e:-1.082 eold:-1.056 eavg:-3.253 tim:12
node:116 rate:1.000 new_rtt8.223 c:1.285 rttpred:8140.602 rtttarget:9220.000 rttmin8220.000 e:-1.079 eold:0.730 eavg:0.378 tim:4
node:116 rate:16.231 new_rtt12.274 c:1.137 rttpred:12169.628 rtttarget:13264.000 rttmin12264.000 e:-1.094 eold:-1.154 eavg:-3.302 tim:32
node:116 rate:1.000 new_rtt12.410 c:1.351 rttpred:12162.924 rtttarget:13270.000 rttmin12270.000 e:-1.107 eold:1.455 eavg:1.556 tim:4
node:116 rate:1.317 new_rtt21.754 c:-2.705 rttpred:31374.077 rtttarget:13264.000 rttmin12264.000 e:18.110 eold:0.970 eavg:18.017 tim:35
node:116 rate:1.285 new_rtt8.274 c:1.098 rttpred:8253.888 rtttarget:9220.000 rttmin8220.000 e:-0.966 eold:-1.079 eavg:-1.316 tim:5
node:116 rate:3.686 new_rtt12.295 c:1.148 rttpred:12146.899 rtttarget:13264.000 rttmin12264.000 e:-1.117 eold:-1.082 eavg:-3.255 tim:13
node:116 rate:1.000 new_rtt11.374 c:-1.043 rttpred:17077.136 rtttarget:5176.000 rttmin4176.000 e:11.901 eold:4.922 eavg:15.500 tim:44
node:116 rate:18.447 new_rtt12.346 c:1.111 rttpred:12319.784 rtttarget:13264.000 rttmin12264.000 e:-0.944 eold:-1.094 eavg:-3.192 tim:33
node:116 rate:1.412 new_rtt8.240 c:1.160 rttpred:8095.005 rtttarget:9220.000 rttmin8220.000 e:-1.125 eold:-0.966 eavg:-3.171 tim:6
node:116 rate:1.351 new_rtt12.352 c:1.129 rttpred:12113.169 rtttarget:13270.000 rttmin12270.000 e:-1.157 eold:-1.107 eavg:-0.809 tim:5
node:116 rate:1.000 new_rtt15.738 c:4.064 rttpred:6389.420 rtttarget:13264.000 rttmin12264.000 e:-6.875 eold:18.110 eavg:12.206 tim:36
node:116 rate:1.000 new_rtt10.631 c:2.135 rttpred:4635.799 rtttarget:5176.000 rttmin4176.000 e:-0.540 eold:11.901 eavg:16.282 tim:45
node:116 rate:1.638 new_rtt8.227 c:1.140 rttpred:8118.262 rtttarget:9220.000 rttmin8220.000 e:-1.102 eold:-1.125 eavg:-3.193 tim:7
node:116 rate:1.525 new_rtt12.301 c:1.154 rttpred:12093.533 rtttarget:13270.000 rttmin12270.000 e:-1.176 eold:-1.157 eavg:-3.440 tim:6
node:116 rate:2.135 new_rtt4.227 c:0.781 rttpred:5420.571 rtttarget:5176.000 rttmin4176.000 e:0.245 eold:-0.540 eavg:11.606 tim:46
node:116 rate:3.000 new_rtt12.295 c:0.817 rttpred:10327.165 rtttarget:13264.000 rttmin12264.000 e:-2.937 eold:-6.875 eavg:8.299 tim:37
node:116 rate:1.000 new_rtt12.365 c:0.774 rttpred:12246.989 rtttarget:11117.700 rttmin12353.000 e:1.129 eold:0.000 eavg:0.000 tim:1
node:116 rate:1.866 new_rtt8.229 c:1.138 rttpred:8144.703 rtttarget:9220.000 rttmin8220.000 e:-1.075 eold:-1.102 eavg:-3.302 tim:8
node:116 rate:1.668 new_rtt4.311 c:1.230 rttpred:4212.578 rtttarget:5176.000 rttmin4176.000 e:-0.963 eold:0.245 eavg:-1.259 tim:47
node:116 rate:2.051 new_rtt4.991 c:0.897 rttpred:5243.571 rtttarget:5176.000 rttmin4176.000 e:0.068 eold:-0.963 eavg:-0.651 tim:48
node:116 rate:1.760 new_rtt12.266 c:1.152 rttpred:12094.519 rtttarget:13266.000 rttmin12266.000 e:-1.171 eold:-1.176 eavg:-3.505 tim:7
node:116 rate:2.124 new_rtt8.229 c:1.141 rttpred:8141.708 rtttarget:9220.000 rttmin8220.000 e:-1.078 eold:-1.075 eavg:-3.255 tim:9
node:116 rate:1.000 new_rtt12.756 c:0.708 rttpred:13142.990 rtttarget:11117.700 rttmin12353.000 e:2.025 eold:1.129 eavg:0.000 tim:2
node:116 rate:2.451 new_rtt20.787 c:-2.798 rttpred:30419.798 rtttarget:13264.000 rttmin12264.000 e:17.156 eold:-2.937 eavg:7.344 tim:38
node:116 rate:1.839 new_rtt7.309 c:-0.049 rttpred:10247.443 rtttarget:5176.000 rttmin4176.000 e:5.071 eold:0.068 eavg:4.176 tim:49
node:116 rate:2.423 new_rtt8.229 c:1.140 rttpred:8141.267 rtttarget:9220.000 rttmin8220.000 e:-1.079 eold:-1.078 eavg:-3.232 tim:10
node:116 rate:2.027 new_rtt12.488 c:1.032 rttpred:12666.116 rtttarget:13266.000 rttmin12266.000 e:-0.600 eold:-1.171 eavg:-2.948 tim:8
node:116 rate:1.000 new_rtt11.529 c:-1.019 rttpred:16960.133 rtttarget:5176.000 rttmin4176.000 e:11.784 eold:5.071 eavg:16.923 tim:50
node:116 rate:2.762 new_rtt8.253 c:1.129 rttpred:8196.562 rtttarget:9220.000 rttmin8220.000 e:-1.023 eold:-1.079 eavg:-3.180 tim:11
node:116 rate:1.000 new_rtt14.017 c:0.251 rttpred:15499.226 rtttarget:11117.700 rttmin12353.000 e:4.382 eold:2.025 eavg:7.536 tim:3
node:116 rate:2.093 new_rtt12.310 c:1.244 rttpred:11900.818 rtttarget:13266.000 rttmin12266.000 e:-1.365 eold:-0.600 eavg:-3.137 tim:9
node:116 rate:3.118 new_rtt8.220 c:1.157 rttpred:8082.796 rtttarget:9220.000 rttmin8220.000 e:-1.137 eold:-1.023 eavg:-3.239 tim:12
node:116 rate:1.000 new_rtt11.263 c:2.042 rttpred:5022.507 rtttarget:5176.000 rttmin4176.000 e:-0.153 eold:11.784 eavg:16.702 tim:51
node:116 rate:1.000 new_rtt12.956 c:1.923 rttpred:10738.135 rtttarget:13353.000 rttmin12353.000 e:-2.615 eold:4.382 eavg:3.792 tim:4
node:116 rate:2.604 new_rtt12.402 c:1.067 rttpred:12390.057 rtttarget:13266.000 rttmin12266.000 e:-0.876 eold:-1.365 eavg:-2.841 tim:10
node:116 rate:3.609 new_rtt8.330 c:1.082 rttpred:8388.834 rtttarget:9220.000 rttmin8220.000 e:-0.831 eold:-1.137 eavg:-2.992 tim:13
node:116 rate:1.000 new_rtt33.315 c:-4.547 rttpred:47168.281 rtttarget:13264.000 rttmin12264.000 e:33.904 eold:17.156 eavg:48.123 tim:39
node:116 rate:2.042 new_rtt4.724 c:0.769 rttpred:5651.149 rtttarget:5176.000 rttmin4176.000 e:0.475 eold:-0.153 eavg:12.106 tim:52
node:116 rate:3.906 new_rtt8.286 c:1.169 rttpred:8114.371 rtttarget:9220.000 rttmin8220.000 e:-1.106 eold:-0.831 eavg:-3.074 tim:14
node:116 rate:2.779 new_rtt12.295 c:1.199 rttpred:12008.410 rtttarget:13266.000 rttmin12266.000 e:-1.258 eold:-0.876 eavg:-3.499 tim:11
