node:148 rate:1.140 new_rtt8.226 c:1.049 rttpred:8148.016 rtttarget:10275.000 rttmin8220.000 e:-0.207 eold:-0.217 eavg:-0.082 flag:1
node:148 rate:1.000 new_rtt4.176 c:0.970 rttpred:4131.027 rtttarget:5220.000 rttmin4176.000 e:0.099 eold:0.099 eavg:0.099 flag:1
node:148 rate:1.000 new_rtt12.331 c:0.965 rttpred:12261.350 rtttarget:11054.700 rttmin12283.000 e:0.109 eold:0.099 eavg:0.109 flag:1
node:148 rate:2.767 new_rtt4.176 c:1.061 rttpred:4130.957 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.178 flag:1
node:148 rate:1.399 new_rtt8.220 c:1.057 rttpred:8133.183 rtttarget:10275.000 rttmin8220.000 e:-0.208 eold:-0.209 eavg:-0.140 flag:1
node:148 rate:1.000 new_rtt12.264 c:0.980 rttpred:12128.106 rtttarget:11037.600 rttmin12264.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:148 rate:1.000 new_rtt4.176 c:1.083 rttpred:4130.978 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:0.099 eavg:-0.003 flag:1
node:148 rate:2.935 new_rtt4.176 c:1.061 rttpred:4130.922 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.180 flag:1
node:148 rate:1.196 new_rtt8.220 c:1.053 rttpred:8126.575 rtttarget:10275.000 rttmin8220.000 e:-0.209 eold:-0.207 eavg:-0.103 flag:1
node:148 rate:1.703 new_rtt14.979 c:0.970 rttpred:16277.132 rtttarget:15330.000 rttmin12264.000 e:0.062 eold:-0.151 eavg:-0.102 flag:1
node:148 rate:3.113 new_rtt4.176 c:1.061 rttpred:4130.894 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.181 flag:1
node:148 rate:1.478 new_rtt8.227 c:1.057 rttpred:8148.947 rtttarget:10275.000 rttmin8220.000 e:-0.207 eold:-0.208 eavg:-0.146 flag:1
node:148 rate:1.083 new_rtt4.176 c:1.048 rttpred:4130.938 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.055 flag:1
node:148 rate:1.000 new_rtt12.318 c:0.970 rttpred:12156.444 rtttarget:15353.750 rttmin12283.000 e:0.100 eold:0.109 eavg:0.104 flag:1
node:148 rate:3.302 new_rtt4.176 c:1.061 rttpred:4130.871 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.182 flag:1
node:148 rate:1.000 new_rtt12.264 c:0.980 rttpred:12131.211 rtttarget:11037.600 rttmin12264.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:148 rate:1.135 new_rtt4.176 c:1.051 rttpred:4130.907 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.086 flag:1
node:148 rate:3.504 new_rtt4.176 c:1.061 rttpred:4130.853 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.183 flag:1
node:148 rate:1.260 new_rtt8.220 c:1.054 rttpred:8134.898 rtttarget:10275.000 rttmin8220.000 e:-0.208 eold:-0.209 eavg:-0.118 flag:1
node:148 rate:1.562 new_rtt8.220 c:1.059 rttpred:8121.570 rtttarget:10275.000 rttmin8220.000 e:-0.210 eold:-0.207 eavg:-0.152 flag:1
node:148 rate:1.000 new_rtt12.268 c:0.970 rttpred:12024.581 rtttarget:11041.200 rttmin12268.000 e:0.089 eold:0.000 eavg:0.000 flag:1
node:148 rate:1.194 new_rtt4.176 c:1.053 rttpred:4130.882 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.106 flag:1
node:148 rate:1.652 new_rtt16.149 c:1.006 rttpred:15874.033 rtttarget:15330.000 rttmin12264.000 e:0.035 eold:0.062 eavg:-0.094 flag:1
node:148 rate:1.000 new_rtt12.340 c:1.081 rttpred:12227.779 rtttarget:15353.750 rttmin12283.000 e:-0.204 eold:0.100 eavg:0.002 flag:1
node:148 rate:1.653 new_rtt8.220 c:1.058 rttpred:8132.150 rtttarget:10275.000 rttmin8220.000 e:-0.209 eold:-0.210 eavg:-0.157 flag:1
node:148 rate:1.328 new_rtt8.221 c:1.056 rttpred:8136.682 rtttarget:10275.000 rttmin8220.000 e:-0.208 eold:-0.208 eavg:-0.130 flag:1
node:148 rate:1.257 new_rtt4.176 c:1.055 rttpred:4130.862 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.121 flag:1
node:148 rate:1.000 new_rtt12.264 c:0.970 rttpred:12131.290 rtttarget:11037.600 rttmin12264.000 e:0.099 eold:0.099 eavg:0.099 flag:1
node:148 rate:1.326 new_rtt4.211 c:1.051 rttpred:4212.021 rtttarget:5220.000 rttmin4176.000 e:-0.193 eold:-0.209 eavg:-0.130 flag:1
node:148 rate:1.750 new_rtt8.220 c:1.059 rttpred:8132.199 rtttarget:10275.000 rttmin8220.000 e:-0.209 eold:-0.209 eavg:-0.161 flag:1
node:148 rate:1.402 new_rtt8.243 c:1.055 rttpred:8185.435 rtttarget:10275.000 rttmin8220.000 e:-0.203 eold:-0.208 eavg:-0.138 flag:1
node:148 rate:1.081 new_rtt12.450 c:1.041 rttpred:12450.458 rtttarget:15353.750 rttmin12283.000 e:-0.189 eold:-0.204 eavg:-0.046 flag:1
