node:14 rate:18.115 new_rtt4.259 c:1.049 rttpred:4326.762 rtttarget:5220.000 rttmin4176.000 e:-0.171 eold:-0.208 eavg:-0.188 flag:1
node:14 rate:1.135 new_rtt12.264 c:1.051 rttpred:12133.825 rtttarget:15330.000 rttmin12264.000 e:-0.208 eold:-0.208 eavg:-0.086 flag:1
node:14 rate:1.087 new_rtt4.243 c:1.039 rttpred:4252.158 rtttarget:5220.000 rttmin4176.000 e:-0.185 eold:-0.216 eavg:-0.049 flag:1
node:14 rate:19.005 new_rtt4.176 c:1.075 rttpred:4002.131 rtttarget:5220.000 rttmin4176.000 e:-0.233 eold:-0.171 eavg:-0.189 flag:1
node:14 rate:1.000 new_rtt8.240 c:0.976 rttpred:8177.288 rtttarget:7398.000 rttmin8220.000 e:0.105 eold:0.085 eavg:0.000 flag:1
node:14 rate:20.427 new_rtt4.176 c:1.058 rttpred:4132.558 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.233 eavg:-0.190 flag:1
node:14 rate:1.130 new_rtt4.211 c:1.055 rttpred:4116.000 rtttarget:5220.000 rttmin4176.000 e:-0.211 eold:-0.185 eavg:-0.081 flag:1
node:14 rate:21.620 new_rtt4.176 c:1.062 rttpred:4135.456 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.190 flag:1
node:14 rate:1.000 new_rtt8.221 c:0.972 rttpred:8105.308 rtttarget:7398.000 rttmin8220.000 e:0.096 eold:0.105 eavg:0.096 flag:1
node:14 rate:22.950 new_rtt4.176 c:1.062 rttpred:4134.550 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.190 flag:1
node:14 rate:1.193 new_rtt12.274 c:1.053 rttpred:12156.440 rtttarget:15330.000 rttmin12264.000 e:-0.207 eold:-0.208 eavg:-0.106 flag:1
node:14 rate:1.192 new_rtt4.176 c:1.056 rttpred:4085.512 rtttarget:5220.000 rttmin4176.000 e:-0.217 eold:-0.211 eavg:-0.104 flag:1
node:14 rate:24.366 new_rtt4.239 c:1.052 rttpred:4280.636 rtttarget:5220.000 rttmin4176.000 e:-0.180 eold:-0.208 eavg:-0.190 flag:1
node:14 rate:1.000 new_rtt8.225 c:0.969 rttpred:8143.452 rtttarget:10275.000 rttmin8220.000 e:0.101 eold:0.096 eavg:0.098 flag:1
node:14 rate:1.258 new_rtt4.176 c:1.053 rttpred:4139.282 rtttarget:5220.000 rttmin4176.000 e:-0.207 eold:-0.217 eavg:-0.119 flag:1
node:14 rate:25.639 new_rtt4.176 c:1.072 rttpred:4034.687 rtttarget:5220.000 rttmin4176.000 e:-0.227 eold:-0.180 eavg:-0.191 flag:1
node:14 rate:27.479 new_rtt4.176 c:1.059 rttpred:4132.944 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.227 eavg:-0.191 flag:1
node:14 rate:1.256 new_rtt12.264 c:1.055 rttpred:12117.412 rtttarget:15330.000 rttmin12264.000 e:-0.210 eold:-0.207 eavg:-0.121 flag:1
node:14 rate:1.325 new_rtt4.234 c:1.046 rttpred:4274.724 rtttarget:5220.000 rttmin4176.000 e:-0.181 eold:-0.207 eavg:-0.126 flag:1
node:14 rate:1.000 new_rtt8.220 c:1.084 rttpred:8126.035 rtttarget:10275.000 rttmin8220.000 e:-0.209 eold:0.101 eavg:-0.004 flag:1
node:14 rate:29.109 new_rtt4.233 c:1.053 rttpred:4267.884 rtttarget:5220.000 rttmin4176.000 e:-0.182 eold:-0.208 eavg:-0.191 flag:1
node:14 rate:1.386 new_rtt4.176 c:1.065 rttpred:4047.540 rtttarget:5220.000 rttmin4176.000 e:-0.225 eold:-0.181 eavg:-0.137 flag:1
node:14 rate:30.655 new_rtt4.176 c:1.071 rttpred:4045.283 rtttarget:5220.000 rttmin4176.000 e:-0.225 eold:-0.182 eavg:-0.191 flag:1
node:14 rate:1.084 new_rtt8.220 c:1.048 rttpred:8133.270 rtttarget:10275.000 rttmin8220.000 e:-0.208 eold:-0.209 eavg:-0.055 flag:1
node:14 rate:32.826 new_rtt4.176 c:1.060 rttpred:4133.668 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.225 eavg:-0.192 flag:1
