[26975, 28.431, 28.431]
[27058, 28.431, 28.431]
[28220, 28.431, 28.431]
[28220, 28.431, 28.431]
[28137, 28.431, 28.431]
[27473, 28.431, 28.431]
[27390, 28.431, 28.431]
[27307, 28.431, 28.431]
[27224, 28.431, 28.431]
[26145, 28.431, 28.431]
[24900, 28.431, 28.431]
[24900, 28.431, 28.431]
[24900, 28.431, 28.431]
[24900, 28.431, 28.431]
[24900, 28.431, 28.431]
[24900, 28.431, 28.431]
[24817, 28.431, 28.431]
[24900, 28.431, 29.046]
[24900, 29.046, 29.046]
[24855, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.046]
[24900, 29.046, 29.661]
[24944, 29.661, 29.661]
[24988, 29.661, 29.661]
[25032, 29.661, 29.661]
[25149, 29.661, 29.661]
[25232, 29.661, 29.661]
[25232, 29.661, 29.661]
[25232, 29.661, 29.661]
[25232, 29.661, 29.661]
[25315, 29.661, 29.661]
[25315, 29.661, 29.661]
[25315, 29.661, 29.661]
[25315, 29.661, 29.661]
[25315, 29.661, 29.661]
[25315, 29.661, 29.661]
[25315, 29.661, 29.661]
[26560, 29.661, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.276]
[26560, 30.276, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 30.891]
[26560, 30.891, 28.361]
[26621, 28.361, 28.361]
[26682, 28.361, 28.361]
[26743, 28.361, 28.361]
[26804, 28.361, 28.361]
[26892, 28.361, 28.361]
[26975, 28.361, 28.361]
[26975, 28.361, 28.361]
[26975, 28.361, 28.361]
[26975, 28.361, 28.361]
[26975, 28.361, 28.361]
[26975, 28.361, 28.361]
[26975, 28.361, 28.361]
[26975, 28.361, 28.361]
[26975, 28.361, 28.361]
[26975, 28.361, 28.361]
[27058, 28.361, 28.361]
[27805, 28.361, 28.976]
[27722, 28.976, 28.976]
[27722, 28.976, 28.976]
[27639, 28.976, 28.976]
[27556, 28.976, 28.976]
[27556, 28.976, 28.976]
[27556, 28.976, 28.976]
[27556, 28.976, 28.976]
[27473, 28.976, 28.976]
[27307, 28.976, 28.976]
[27224, 28.976, 28.976]
[27224, 28.976, 28.976]
[27224, 28.976, 28.976]
[27224, 28.976, 28.976]
[27141, 28.976, 28.976]
[27224, 28.976, 29.591]
[27184, 29.591, 29.591]
[27227, 29.591, 29.591]
[27270, 29.591, 29.591]
[27230, 29.591, 29.591]
[27190, 29.591, 29.591]
[27307, 29.591, 29.591]
[27307, 29.591, 29.591]
[27307, 29.591, 29.591]
[27307, 29.591, 29.591]
[27307, 29.591, 29.591]
[27307, 29.591, 29.591]
[27307, 29.591, 29.591]
[27307, 29.591, 29.591]
[27307, 29.591, 29.591]
[27307, 29.591, 29.591]
[27473, 29.591, 27.107]
[27439, 27.107, 27.107]
[27473, 27.107, 27.107]
[27473, 27.107, 27.107]
[27439, 27.107, 27.107]
[27405, 27.107, 27.107]
[27473, 27.107, 27.107]
